一个人	👤️
呔會	😢️,😿️
和肉敆	🍔️
哀耳蘭	🇮🇪
哈耶國	🇦🇲
哥裕利亞	🇬🇪
哪有可能	🤔️
哺薰	🚬️
唅	😢️,😥️,😿️,🤨
唐山	🇨🇳
唱聲	⚠️,🛑
啊毋就	😒️,🙄️
啊毋就按呢	😒️,🙄️
問點	❓️,❔️
喊	🙋🏻
喙	👄️
喙掩仔	😷️
喙罩	😷️
喙鬚	🧔🏻
喙鬚剾仔	🪒
喙鬚剾刀	🪒
喙齒	🦷
喝唏	🥱
嘐潲	🤥
四片枋仔	⚰️
圈仔糋	🍩️
國立公園	🏞️
土耳古	🇹🇷
地下鐵	🚇️
埔尖湧	🌊️
基瑙斯	🇰🇬
堡包	🍔️
報路	☝🏻️
塔志克	🇹🇯
填	🈵️
壁蛇	🦎
壽	⚰️
壽具	⚰️
壽枋	⚰️
多士	🍞️
大壽	⚰️
大帽	👍🏻️
大掘	⛏️
大海湧	🌊️
大湧	🌊️
大腹肚桶	🫄🏻
大腿	🦵🏻
大跤桶	🛁️
大頭拇	👍🏻️
大頭拇公	👍🏻️
大頭釘	📍️
大龜母	👍🏻️
天光	🌄️
天公伯仔	😱️,🙀️,🤯
天幕	⛺️
天星	⭐️
天欲暗矣	🌆️
天狗月	🌑️
天狗食月	🌑️
太歲星	🪐
太陽星君	🌞️
夭壽喔	😱️,🙀️,🤯
夭壽骨	😱️,🙀️,🤯
夯石碾	🏋🏻️
夯石輪	🏋🏻️
夯重	🏋🏻️
失月	🌑️
夾銅夾鐵	🧲
奕物仔	🎮️,👾️
奕耍	🎮️,👾️
奧斯馬加	🇦🇹
奶仔茶	🧋
奶敆茶	🧋
奶透茶	🧋
奶飯洘	🥘
好眠	💤️,😴️
委士記	🥃
姦恁娘	🤬
媠噹噹	😍️,😻️
媠姑娘	😍️,😻️
媠氣	😍️,😻️
字盤	⌨️
孤佬	🙁️
孵泡	🫧
學生仔	🤓️,🧑🏻‍🎓
學臺	🚽️,🚾️
宇克蘭	🇺🇦
宇宙人	👽️
宇志白	🇺🇿
安全針	🧷
安童仔喂	😱️,🙀️,🤯
安童喂	😱️,🙀️,🤯
宏牙利	🇭🇺
客運	🚌️
客運亭	🚏️
客運的	🚌️
家宿	👨‍👩‍👦,👨‍👩‍👧‍👦
密號	🔏️
寫功課	📝️
寫票	🗳️
將軍帳	⛺️
小七哥仔	🤡
小包	📦️
小可仔	🤌🏻
小吹	🎺️
小惑星	💫️
小鄙臉	🙁️
尖喙的	🐀️
尖餅殼	🍦️
尾暗仔	🌆️
尾暗仔時	🌆️
尾暗矣	🌆️
居比路	🇨🇾
屈棍球	🏑️,🏒️
屎	💩️
屎尿	💩️
山楂攕	🍡️
山頂尾溜	⛰️
島群	🗾️
巴士	🚌️
巴落	🇵🇼
布帆	⛺️
布棚	⛺️
布篷	⛺️
布篷厝	⛺️
布袋鼠	🦘
帆厝	⛺️
帕仔裝	👰🏻‍♀️,👰🏻️
帳帷	⛺️
帳幕	⛺️
帳房	⛺️
帳棚	⛺️
帶衰	😫️
幌籃仔	🎡️
平平	🟰
度針	🌡️
張持	⚠️
影戲館	🎥️
徛琴	🪉
德意志	🇩🇪
心肝	👶🏻️
心肝結規丸	😂️,🤦🏻
必祚	🍕️
必紮	🍕️
悾歁	🥴
情批	💌️
想欲	😻️
意國	🇮🇹
意式烘餅	🍕️
意式燒餅	🍕️
意式麵	🍝️
愛斯提	🇪🇪
愛而蘭	🇮🇪
愛阿蘭	🇮🇪
感冷	🤧
感恩	😎️,🙏🏻️
感邪	🤧
慢速野球	🥎
憂結結	😂️,🤦🏻
懸屐仔	👠️
懸踏	👠️
懸踏仔	👠️
懸踏鞋	👠️
我佮意你	🤟🏻
戒火草	🌵️
戰湧	🏄🏻
手大步拇	👍🏻️
手電火	🔦️
扒飯	🍚️
扣	➖️
扯	💔️
批館	🏤️
拍叉仔	❎️
拍噗仔	👏🏻️
拍字盤	⌨️
拍徛格	❎️
拍抐涼	💬️
拍毋見	😣️
拍火器	🧯
拍火罐	🧯
拍火車	🚒️
拍無	😣️
拍雷公	🌩️
拍電話	🤙🏻
拍騙	💸️
拚暝	🫩
指中指	🖕🏻️
指頭仔	🫵🏻
捙蛆	🤪,😜️
捲螺仔風	🌪️
捲風	🌪️
捽仔喇叭	🪊
捾桶仔	🪣
掛喙掩	😷️
掛喙掩仔	😷️
掛喙罨	😷️
掛喙罩	😷️
掛肚	🫄🏻
探頭	🙋🏻
接受	👐🏻️
控山壁	🧗🏻
掩喙的	😷️
掩喙罨	😷️
揍身	🥊
插車	🅿️
揹仔	🎒️
搜揣	🔍️
摃坩仔	👨🏻‍❤️‍👨🏻,👬🏻️
摃槌仔	🔨️
摃球	⚾️
摩勒都峇	🇲🇩
撓起來	✅️
撓鉤仔	✅️
擘哈	🥱
擛手	👋🏻️
攏會使	😶️
攑雨傘	☔️
攝	🥀
攪色	🎨️
攪色盤仔	🎨️
攬	🤗️
支伯拉的	🇬🇮
放聲	⚠️,🛑
放送	⏯️,▶️
敆倚	🔗️
敆路	🚥️,🚦️
救命環	🛟
救命箍仔	🛟
救生環	🛟
救生箍仔	🛟
教員	🧑🏻‍🏫
教師	🧑🏻‍🏫
敢按呢	😳️,😓️
敢有影	😓️,😳️
敢真的	😓️,😳️
敢誠實的	😓️,😳️
敲字盤	⌨️
敲爍爁	🌩️
數碼批	📧️
新厝	⚰️
新娘衫	👰🏻‍♀️,👰🏻️
新聞紙	📰️
新郎公	🤵🏻‍♂️
日	☀️,🌞️
日拆	📅️
日拆仔	📅️
日斜西	🌇️
日欲暗	🌆️
日落山	🌇️
日頭欲落山	🌆️
日頭落山	🌇️
昂聲	🔊️
星仔	⭐️
星泄屎	☄️
昭可力	🍫️
昭可洛	🍫️
時咕仔	⏰️,🔔️
時錶仔	⌚️
智識人	🤓️
暗	⬛️
暗號	🔏️
暹羅	🇹🇭
書呆	🤓️
書鋏	📑️,🔖️
會通	🆗️,👌🏻️,😉️,🙂‍↕️
月光	🌕️,🌙️,🌝️
月帖仔	🗓️
月眉	🌓️,🌛️
有囡仔	🫄🏻
有影無	😓️,😳️
有身孕	🫄🏻
朔啡亞	🇷🇸
朱古力	🍫️
李仔攕	🍡️
李仔糖	🍡️
杯仔雞卵糕	🧁
松柏樹	🌲️
果子汁	🍹️,🧃
枝仔糖	🍭️
枵囉	😋️
枵矣	😋️
枵鬼鐵	🧲
柑仔色	🟧
柑仔蜜醬	🥫
查埔囡仔	👦🏻️
查揣	🔍️
柯智亞	🇭🇷
柴耙	👰🏻‍♀️
栗美國	🇱🇻
根節	⚠️
格仔粿	🥞,🧇
格仔膨餅	🥞,🧇
格仔餅	🥞,🧇
桃志其	🇹🇯
桌仔耍	🎴️
桌奕	🎴️
桌頂奕	🎴️
桌頂耍	🎴️
桌頂耍奕	🎴️
桔仔龜	🪲
楓仔葉	🍁️
槌	🐷️
樓仔厝	🏙️,🏢️
樹攬	🦥
樹熊	🐨️
樹獺	🦥
樹趖	🦥
機仔	📱️
機械人	🤖️
欲暗囉	🌆️
欲暗矣	🌆️
欶血鬼	🧛🏻
歐洲錢	💶️
歐票	💶️
歐羅	💶️
正面	👉🏻️,🫱🏻
歪棍仔球	🏑️,🏒️
歹下	😫️
歹天	🌥️
歹物仔	👻️
毋	😣️
毋愛	😣️
毋插	🤷🏻
毋管	🤷🏻
毋見	😣️
母仔	👩🏻️
毛管蟲	🐛️
水湧	🌊️
水龍車	🚒️
求乞	🥺
沙坪	🏖️
沙灘	🏖️
油梨仔	🥑
油箍	🧼
油胰	🧼
泅水箍仔	🛟
法國糋	🍟️
法蘭西	🇫🇷
波士尼亞	🇧🇦
洋割包	🍔️
洗手熊	🦝
洗浴乳	🧴
洗浴精	🧴
洗熊	🦝
洗身液	🧴
洗身軀精	🧴
洪牙利	🇭🇺
流星群	🌠️
浡丁	🍮️
浮水沬	🤿
浮沬	🤿
海坪仔	🏖️
海埔	🏖️
海墘仔	🏖️
海墘跤	🏖️
海徛	🐬️
海掃	🌊️
海沖	🌊️
海沙坪	🏖️
海沙埔	🏖️
海淹	🌊️
海湧	🌊️
海狗	🦭
海豬仔	🦭
海邊仔	🏖️
消火器	🧯
消防罐	🧯
涼的	🧃
涼茶	🧃
淺沬	🤿
渡船場	⛴️
渡船頭	⚓️
港口	⛴️,⚓️
游泳箍仔	🛟
游泳衫	🩱
湧	🌊️
滑詼	😏️
滾狗湧	🌊️
滾耍笑	😜️
滾蛟龍	🌊️
澀	🙁️
濟雲	⛅️
瀰	🤿
灌電	🔋️
火著	🔥️
炮仔捾	🧨
烏山	🇲🇪
烏暗	⬛️
無了解	😵‍💫,😵️,🫪
無佮意	🥴
無勢	😕️,😒️,🙄️
無可能	😛️,😟️
無問題	👌🏻️
無意神	😌️
無毋著	😎️
無興趣	😌️
無錢	💸️
無限定	😕️
無電	🪫
煎餃	🥟
煙花枝	🎇️
煞著	💓️
煬	😏️
煮食師傅	🧑🏻‍🍳
煮食的	🧑🏻‍🍳
熔去	🫠
熟卵乳	🍮️
燒狗	🌭️
燒薰	🚬️
營帳	⛺️
牌	🛡️
牛公	🐂️
牛奶茶	🧋
犯險	⚠️,🚨️
狀師	🧑🏻‍⚖️
狗母仔蟲	🐛️
猴桃仔	🥝
猴頭果	🥝
獅仔	🦁️
獅仔座	♌️
獨乙	🇩🇪
獨國	🇩🇪
獨逸	🇩🇪
王女	👸🏻️
玲瑯馬	🎠️
玻璃罐仔	🫙
珠仔龜	🐞️
瑟輝亞	🇷🇸
璇仔	💎️
璇石手指	💍️
甌仔雞卵糕	🧁
甜箍仔	🍩️
甜箍麭	🍩️
生菜餐	🥗
生蚵	🦪
生鬚	🧔🏻
田嬰機	🚁️
番仔番薯	🥔
番薑	🌶️
番薯簽糋	🍟️
番薯糋	🍟️
畫士	🎨️,🧑🏻‍🎨
疑訝	🤔️
疶屎星	☄️
病囡仔	🫄🏻
病院	🏥️
痟流拖	🌊️
痟狗流	🌊️
痟狗湧	🌊️
發波	🫧
發波仔	🫧
白痴	🐷️
皮皮	🤪,😶️
目頭巧	😉️
相乘	✖️
相借問	🙋🏻
相磕	💥️
相談	ℹ️
盹瞌睡	🫩
真歹勢	🙏🏻️
真無聊	😴️
真珠奶茶	🧋
真的抑假的	😳️
眠夢	💭️
石磨仔	👩🏻‍❤️‍👩🏻,👭🏻️
矸仔球	🎳️
硬插	🥲
碼頭	⛴️
磅番麥	🍿️
磕挵	💥️
磨鏡的	👩🏻‍❤️‍👩🏻,👭🏻️
礤冰	🍧️
禿額	🧑🏻‍🦲
科索伏	🇽🇰
稽考	🧐
穩死	😠️,😾️
突勉	🇹🇲
窗兄	👨🏻‍🎓
競技車	🏎️
競車	🏎️
笛仔	🪈
第三指	🖕🏻️
第二指	☝🏻️
筋肉	💪🏻️
箍喙罨	😷️
箍圓箍仔	➰️
箍箍麭	🍩️
箱仔	🧳
節錶仔	⏳️
簷龍	🦎
簽條	🏷️,📑️
籠球	🏀️
米國	🇺🇸
粉圓奶茶	🧋
粉圓牛奶茶	🧋
糋圈仔	🍩️
糋甜麭	🍩️
糋蝦仔	🍤️
糖仔攕	🍡️
紅燈青燈	🚥️,🚦️
紅茶牛奶	🧋
紙夾仔	📎️
紙箱仔	📦️
結仔龜	🪲
結連	🔗️
經風	💨️
網仔瓜	🍈️
網仔衫	👰🏻‍♀️,👰🏻️
總舖	🧑🏻‍🍳
繭仔	🍥️
罩雺霧	🌁️
羅馬尼	🇷🇴
羊駱駝	🦙
美利堅合眾國	🇺🇸
美國割包	🍔️
美國灌腸	🌭️
美希哥	🇲🇽
翕相	📸️
翕相機	📷️
翕電影	🎬️
翼	🪽
老師	🧑🏻‍🏫
耍	🎮️
耍奕	🎮️,👾️
耍戲	🎮️,👾️
耍湧	🏄🏻
耍物仔	🎮️,👾️
耳仔機	🎧️
聖誕老阿伯	🎅🏻️,🧑🏻‍🎄
聽毋捌	😵️
聽筒	🩺
肉敆	🍔️
肉餅	🥧
肩胛拄肩胛	🧑🏻‍🤝‍🧑🏻
腹肚桶	🫄🏻
膨鏡	🔍️,🔎️
臘肉	🥓
自家用的	🚗️
自翕	🤳🏻
臺灣	🇹🇼
色斐亞	🇷🇸
芋頭	🧑🏻‍🦲
芝車力	🍫️
花仔菜	🥦
花點龜仔	🐞️
花龜仔	🐞️
英蘭	🏴󠁧󠁢󠁥󠁮󠁧󠁿
茫霧	🫪
茶箍精	🧴
草仔色	♻️,🟩
草箍	🛟
荷蘭水	🥤
菜椒	🫑
菜球	🫜
菝仔屎	🙁️
落下傘	🪂
落大雨	☔️
落屎星	☄️
落山	🌇️
落衰	😫️
落雺	🌁️
著災	😫️
著衰	😫️
葡萄牙國	🇵🇹
蓮苞頭	🚿️
蔫去	🥀
薯簽	🍟️
薰肉	🥓
藍莓仔	🫐
藏名	👤️
藏水覕	🤿
藏覕	🤿
虯	🙁️
虹	🌈️
虹旗	🏳️‍🌈
蜜希古	🇲🇽
蝦仔糋	🍤️
蝦糋	🍤️
蝶仔	🦋
蝶仔結	🎀️
螻蟻	🐜️
蟮蟲	🦎
衝湧	🏄🏻
袂	😝️
袂爽	☹️,😣️,😩️,🥴
袂用得	😝️,🙂‍↔️,🙅🏻
袂癮	☹️,😣️
袂看得	🙈️
袂通	⛔️,🚧️
西國菜燕	🍮️
西國麵粉粿	🍕️
西洋鬼節	🎃️
規家伙仔	👨‍👩‍👦,👨‍👩‍👧‍👦
覕名	👤️
角蜂	🐝️
言語	🌐️
話語	🌐️
誠好	😀️,😺️,🙆🏻
誠讚	😀️,😺️,🙆🏻
諸島	🗾️
譴相	🙁️
貓潲	🙁️
貓筩	🙁️
買物	🛍️
貸切仔	🚕️,🚖️
賤	🤪
贊聲隊	👯🏻,🥳
赤小豆	🫘
起歹勢	🙏🏻️
趖仔	🦥
趨板	🎨️,🛹
趨枋	🎨️,🛹
趨枋仔車	🛴
趨湧	🏄🏻
足熱	🫠
跑馬	🏇🏻
跙枋	🎨️,🛹
跙湧	🏄🏻
踅玲瑯馬仔	🎠️
踮水沫	🤿
踮沬	🤿
身軀膏	🧴
躼尾仔	🐒️
車母	🚂️,🚆️
較車	🏎️
輕鐵	Ⓜ️,🚈️
輪板	🎨️,🛹
輪鼓車仔	🛒
輾仔鞋	🛼
輾天車	🎢️
轎仔	🚗️
迒性別	⚧️,🏳️‍⚧️
遊耍	🎮️,👾️
遊船	🛳️
遊覽船	🛳️
過山車	🎢️
遺傳子	🧬
郵船	🛳️
鄙厘	🙁️
鄙臉	🙁️
醫師	🧑🏻‍⚕️
醫館	🏥️
金烏	☀️,🌞️
金瓜普渡節	🎃️
金蕉	🍌️
金閃閃	✨️
針蝟	🦔
釣魚仔	🎣️
鉸螺仔風	🌪️
鉸頭毛	💇🏻
鉸頭鬃	💇🏻
錢櫃仔	🏧️
錫蘭	🇱🇰
鎮星	🪐
鐳	💰️,🪙
鐵帽	⛑️
鐵槌	🔨️
鑠奅	😍️,😻️
鑽水沬	🤿
鑽水覕	🤿
鑿目	😣️,😩️,🥴
長跤鹿	🦒
門德內革羅	🇲🇪
閃爍	✨️
閃閃爍	✨️
阿娘喂	😱️,🙀️,🤯
阿爸	👨🏻️
陷眠	💭️
險厄	⚠️,🚨️
險難	⚠️,🚨️
雞卵	🥚
雞屎蜂	🐝️
雞翼	🍗️
雞翼仔	🍗️
雞胿球	🎈️
雞鐘仔	⏰️,🔔️
雞鵤公	🐓️
雪尪仔	☃️,⛄️
雪文液	🧴
雪文精	🧴
雪文膏	🧴
雺	🌁️
雺煙	🌁️
雺霧	🌁️
雺露	🌁️
電動	🎮️,👾️
電子批	📧️
電影間	🎥️
電火	🔦️
電火戲	🎬️
電火珠仔	💡️
電筒	🔦️
電腦仔批	📧️
電腦批	📧️
電腦鼠	🖱️
電車	Ⓜ️,🚇️
霜仔	🍨️
霧	🌁️
霧嗄嗄	😲️
霧泡	🫧
露篷	⛺️
露西亞	🇷🇺
青盲人	🧑🏻‍🦯
青盲仔	🧑🏻‍🦯
響雷	🌩️
響雷公	🌩️
頂爿	👆🏻️
頂真	⚠️
預防注射	💉️
頓票	🗳️
頓首	🙇🏻
頕頭	🙋🏻,🙂‍↕️
領錢	🏧️
領錢機仔	🏧️
顧人怨	😣️,😩️,🥴
飄撇	😍️,😻️
飛行機	✈️
食薰	🚬️
食風	💨️
食飯	🍚️
食麵	🍜️
飯	🍚️
飯丸仔	🍙️
餌	🪤
馬走標	🏇🏻
馬鈴薯條	🍟️
馬魯知夫	🇲🇻
駛夜車	🫩
駝羊仔	🦙
騎湧	🏄🏻
驚掣	😱️,🙀️
驛頭	🚉️
鬥圖	🧩
鬥片仔	🧩
鬼仔風	🌪️
魔導士	🧙🏻
魔棍仔	🪄
魔神仔	👻️
鱷梨仔	🥑
鱷魚	🐊️
鳥鼠仔	🖱️
鳥鼠擗仔	🪤
鵝毛球	🏸️
鶆鴞	🦅
鹽酸草	☘️
麒麟鹿	🦒
麭	🍞️
麭割包	🍔️
黑輪	🍢️
黜	🤫
點點龜仔	🐞️
鼓	🌬️
鼠尾風	🌪️
齷齪	😫️
龍脈	⛰️
龜蛇	🐢️
